assets/images/tilemap.png
x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1   x,x-1
x,x-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   0,0-1   x,x-1
x,x-1   0,0-1   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,0-1   x,x-1
x,x-1   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   0,1-0   x,x-0
